Designator,Footprint,Comment,Mid X,Mid Y,,,Mid X,Mid Y
*1,XTAL-ABS06,XTAL_ABS06,-36.957,36.8554,,,36.957,-36.8554
C1,402,22.5pF,-34.544,36.0934,,,34.544,-36.0934
C2,402,22.5pF,-34.544,37.3634,,,34.544,-37.3634
C5,402,0.1uF,-32.131,39.9034,,,32.131,-39.9034
C6,402,0.1uF,-42.799,33.5534,,,42.799,-33.5534
C7,402,0.1uF,-41.529,33.5534,,,41.529,-33.5534
C8,402,0.1 uF,-42.291,46.99,,,42.291,-46.99
C9,402,0.1 uF,-49.149,37.3634,,,49.149,-37.3634
C11,402,0.1uF,-35.433,17.2974,,,35.433,-17.2974
C12,Tant0805,10uF,-39.116,22.606,,,39.116,-22.606
C13,402,0.1uF,-37.465,22.606,,,37.465,-22.606
C14,402,1uF,-32.127,22.733,,,32.127,-22.733
C15,402,0.1uF,-18.796,12.4714,,,18.796,-12.4714
C16,402,0.01uF,-38.354,24.6634,,,38.354,-24.6634
C17,402,0.1uF,-39.624,19.8374,,,39.624,-19.8374
C18,Tant0805,10uF,-47.498,21.463,,,47.498,-21.463
C19,402,0.1uF,-47.498,19.812,,,47.498,-19.812
C20,402,1uF,-41.148,22.352,,,41.148,-22.352
C21,402,0.1uF,-41.783,11.0744,,,41.783,-11.0744
C22,402,0.01uF,-47.498,23.495,,,47.498,-23.495
C23,402,0.1uF,-43.942,18.288,,,43.942,-18.288
C24,Tant0805,10uF,-37.211,7.8994,,,37.211,-7.8994
C25,402,0.1uF,-38.608,7.8994,,,38.608,-7.8994
C26,402,1uF,-45.212,8.2804,,,45.212,-8.2804
C27,402,1.0uF,-45.974,17.526,,,45.974,-17.526
C28,402,0.01uF,-37.846,5.9944,,,37.846,-5.9944
C29,402,1.0uF,-45.974,16.256,,,45.974,-16.256
C30,402,1.0uF,-33.401,18.6944,,,33.401,-18.6944
C31,402,1.0uF,-45.974,13.716,,,45.974,-13.716
C32,402,1.0uF,-33.274,13.6144,,,33.274,-13.6144
C33,402,1.0uF,-45.974,14.986,,,45.974,-14.986
C34,X,220uF,-1.905,11.9634,,,1.905,-11.9634
C35,402,2.2uF,-4.191,47.1424,,,4.191,-47.1424
C36,603,10uF,-28.321,45.9994,,,28.321,-45.9994
C39,Tant0805,10uF,-51.562,35.56,,,51.562,-35.56
C40,402,0.1uF,-51.562,34.036,,,51.562,-34.036
C41,603,4.7uF,-53.467,39.116,,,53.467,-39.116
C42,402,82pF,-54.229,42.8244,,,54.229,-42.8244
C43,603,22uF,-56.769,44.7294,,,56.769,-44.7294
D1,Diode0603,LED_0603,-47.244,52.07,,,47.244,-52.07
D2,Diode0603,LED_0603,-43.18,52.07,,,43.18,-52.07
L1,0805_(M2125)_Ferrite,300Ohm,-35.052,40.0304,,,35.052,-40.0304
L2,Inductor_-_duplicate,6.8uH,-20.521,48.6154,,,20.521,-48.6154
L3,Inductor_470NH,470nH,-60.325,43.4124,,,60.325,-43.4124
P1,HDR2X20,Header 20X2,-31.159,2.159,,,31.159,-2.159
P2,HDR1X4,Header 4,-0.381,23.3934,,,0.381,-23.3934
P3,HDR1X4,Display,-17.399,6.604,,,17.399,-6.604
P4,microUSB-B,Program,-53.136,50.469,,,53.136,-50.469
P5,HDR2X5,Header 5X2,-33.655,51.816,,,33.655,-51.816
P6,Tactile-B3U-1000,Tactile,-43.18,27.4574,,,43.18,-27.4574
P7,Tactile-B3U-1000,Tactile,-43.18,29.9974,,,43.18,-29.9974
P8,Header_2x5_50mil,Cortex Debug,-36.068,31.623,,,36.068,-31.623
R1,3-0603,4.7k,-25.019,6.1214,,,25.019,-6.1214
R2,3-0603,4.7k,-25.019,7.6454,,,25.019,-7.6454
R3,3-0603,10K,-45.085,33.909,,,45.085,-33.909
R4,3-0603,330X,-45.212,52.0954,,,45.212,-52.0954
R5,3-0603,330X,-41.148,52.07,,,41.148,-52.07
R8,3-0603,30X,-22.733,12.0904,,,22.733,-12.0904
R9,3-0603,4.7k,-8.636,6.1214,,,8.636,-6.1214
R10,3-0603,4.7k,-10.033,7.8994,,,10.033,-7.8994
R11,3-0603,100k,-34.544,45.2374,,,34.544,-45.2374
R12,3-0603,100k,-34.544,43.7134,,,34.544,-43.7134
R15,3-0603,150k,-51.435,42.8244,,,51.435,-42.8244
R16,3-0603,680k,-52.959,42.8244,,,52.959,-42.8244
U1,QFN127P600-8N,ATSAMD21GA-MUT,-42.969,40.302,,,42.969,-40.302
U2,MF05A_N,LP3985IM5-3.3,-34.794,22.987,,,34.794,-22.987
U3,QFN32,SGTL5000,-40.005,15.875,,,40.005,-15.875
U4,MF05A_N,LP3985IM5-3.3,-43.942,22.479,,,43.942,-22.479
U5,MF05A_N,LP3985IM5-3.3,-41.529,7.1374,,,41.529,-7.1374
U6,TI-DCK5_V,TLV70018DCKR,-33.02,16.129,,,33.02,-16.129
U7,TPS6103x,TPS61032,-9.144,47.5234,,,9.144,-47.5234
U9,TPS62822_SOP8,TPS62822,-56.428,42.025,,,56.428,-42.025
Y1,Oscillator_5x3.2,12.288MHz,-20.701,16.9094,,,20.701,-16.9094
P15,SOP4,pushbutton,-26.833,36.2746,,,26.833,-36.2746
P16,SOP4,pushbutton,-8.545,36.2746,,,8.545,-36.2746
P19,SOP4,pushbutton,-17.689,36.2746,,,17.689,-36.2746
